Date,AAPL,QQQ,SPY,TSLA
2018-07-17,46.140457,176.33522,264.841461,64.538002
2018-07-18,45.887398,176.002655,265.39856,64.769997
2018-07-19,46.244095,175.122314,264.397705,64.045998
2018-07-20,46.13805,175.083191,264.09549,62.716
2018-07-23,46.17902,175.640747,264.586548,60.639999
2018-07-24,46.514015,176.364594,265.917938,59.486
2018-07-25,46.952644,178.82959,268.184265,61.748001
2018-07-26,46.805626,176.120071,267.551544,61.330002
2018-07-27,46.027184,173.743088,265.738556,59.436001
2018-07-30,45.769318,171.287842,264.350494,58.034
2018-07-31,45.860893,172.598602,265.653534,59.627998
2018-08-01,48.562565,173.253983,265.209778,60.167999
2018-08-02,49.982075,175.611389,266.65448,69.907997
2018-08-03,50.12669,176.149399,267.797028,69.634003
2018-08-06,50.386978,177.186264,268.779175,68.398003
2018-08-07,49.914597,177.831833,269.666748,75.914001
2018-08-08,49.948341,178.047043,269.553375,74.068001
2018-08-09,50.341183,177.939438,269.185242,70.489998
2018-08-10,50.191231,176.579788,267.381622,71.098
2018-08-13,50.515316,176.384171,266.380646,71.281998
2018-08-14,50.728138,177.489487,268.080383,69.528
2018-08-15,50.846645,175.317932,266.078583,67.737999
2018-08-16,51.591549,175.895096,268.231445,67.089996
2018-08-17,52.621838,175.934174,269.17569,61.099998
2018-08-20,52.109108,175.777695,269.751709,61.688
2018-08-21,52.007534,176.423294,270.384338,64.379997
2018-08-22,52.009953,177.108002,270.223907,64.328003
2018-08-23,52.116367,176.853653,269.865021,64.019997
2018-08-24,52.278397,178.496994,271.489197,64.564003
2018-08-27,52.7089,180.316406,273.632721,63.854
2018-08-28,53.134552,180.580521,273.764923,62.372002
2018-08-29,53.927818,182.664001,275.237976,61.001999
2018-08-30,54.423622,182.341232,274.123749,60.630001
2018-08-31,55.052433,182.576004,274.133209,60.332001
2018-09-04,55.228985,181.793457,273.661041,57.790001
2018-09-05,54.868622,179.445816,272.92453,56.147999
2018-09-06,53.956844,177.841629,272.102966,56.189999
2018-09-07,53.521511,177.156906,271.574188,52.647999
2018-09-10,52.803219,177.753616,272.046326,57.099998
2018-09-11,54.138241,179.123001,272.943359,55.888
2018-09-12,53.465893,178.594803,273.009491,58.108002
2018-09-13,54.757374,180.502274,274.624207,57.891998
2018-09-14,54.135807,179.974045,274.671448,59.040001
2018-09-17,52.694386,177.381897,273.217194,58.967999
2018-09-18,52.781452,178.849152,274.699738,56.992001
2018-09-19,52.812885,178.712219,274.992401,59.804001
2018-09-20,53.214363,180.688141,277.220947,59.666
2018-09-21,52.641178,179.70015,276.967712,59.82
2018-09-24,53.398163,180.199951,276.047577,59.936001
2018-09-25,53.736767,180.444916,275.791504,60.198002
2018-09-26,53.308685,180.572281,274.966278,61.916
2018-09-27,54.404259,182.101013,275.734619,61.504002
2018-09-28,54.595329,182.061798,275.763092,52.953999
2018-10-01,54.962952,182.434158,276.721069,62.139999
2018-10-02,55.451477,182.022583,276.559814,60.203999
2018-10-03,56.126247,182.218597,276.711578,58.959999
2018-10-04,55.139496,178.72023,274.54892,56.366001
2018-10-05,54.244637,176.534958,273.012238,52.389999
2018-10-08,54.118885,175.457047,273.012238,50.112
2018-10-09,54.868622,176.025406,272.6138,52.560001
2018-10-10,52.326771,168.283936,263.981995,51.375999
2018-10-11,51.864838,166.196686,258.167419,50.445999
2018-10-12,53.717419,170.821976,261.75293,51.756001
2018-10-15,52.568619,168.754303,260.282623,51.917999
2018-10-16,53.727093,173.663757,265.973969,55.318001
2018-10-17,53.494907,173.732346,266.021393,54.355999
2018-10-18,52.244541,169.704834,262.179779,52.782001
2018-10-19,53.040226,169.54805,262.037476,52.0
2018-10-22,53.364307,170.420181,260.861206,52.189999
2018-10-23,53.867359,169.79303,259.533264,58.827999
2018-10-24,52.019619,162.022141,251.669846,57.700001
2018-10-25,53.158737,167.627396,256.184937,62.972
2018-10-26,52.312267,163.315689,251.679321,66.18
2018-10-29,51.330353,159.954498,250.284943,66.970001
2018-10-30,51.586712,162.59053,253.993729,65.980003
2018-10-31,52.9314,166.412277,256.706635,67.463997
2018-11-01,53.744019,168.6073,259.438477,68.856003
2018-11-02,50.179138,165.98111,257.901825,69.281998
2018-11-05,48.754642,165.569504,259.324677,68.279999
2018-11-06,49.281876,166.823837,260.965607,68.211998
2018-11-07,50.776505,172.056656,266.552582,69.632004
2018-11-08,50.599346,170.959152,266.068817,70.279999
2018-11-09,49.623714,168.078156,263.469788,70.101997
2018-11-12,47.123962,162.99231,258.546814,66.255997
2018-11-13,46.653137,163.129471,258.063049,67.746002
2018-11-14,45.335308,161.884995,256.298706,68.800003
2018-11-15,46.454132,164.716995,258.973602,69.688004
2018-11-16,46.968636,164.138824,259.647156,70.862
2018-11-19,45.107174,158.807968,255.255371,70.694
2018-11-20,42.952045,155.966171,250.53157,69.498001
2018-11-21,42.903503,157.151901,251.385284,67.638
2018-11-23,41.813805,156.015198,249.706314,65.166
2018-11-26,42.379288,159.621307,253.737656,69.199997
2018-11-27,42.287064,160.160309,254.59137,68.783997
2018-11-28,43.913113,165.314743,260.453339,69.573997
2018-11-29,43.575779,164.775787,259.884308,68.234001
2018-11-30,43.340359,165.971298,261.468323,70.096001
2018-12-03,44.854778,168.871887,264.930542,71.697998
2018-12-04,42.88166,162.394516,256.34613,71.940002
2018-12-06,42.403557,163.541061,255.957306,72.612
2018-12-07,40.891571,158.141647,250.009903,71.594002
2018-12-10,41.160957,159.797729,250.484131,73.029999
2018-12-11,40.925552,160.326904,250.541046,73.351997
2018-12-12,41.039616,161.738007,251.802597,73.32
2018-12-13,41.488598,161.786972,251.717224,75.358002
2018-12-14,40.16106,157.847626,247.069336,73.141998
2018-12-17,39.787315,154.270889,242.222244,69.683998
2018-12-18,40.304256,155.241043,241.956635,67.405998
2018-12-19,39.047089,151.429077,238.333176,66.594002
2018-12-20,38.061756,149.234009,234.453568,63.076
2018-12-21,36.581326,144.608749,229.649765,63.953999
2018-12-24,35.634811,141.022751,223.581741,59.077999
2018-12-26,38.144272,149.828094,234.878174,65.218002
2018-12-27,37.896729,150.407852,236.681427,63.226002
2018-12-28,37.916138,150.329254,236.376099,66.774002
2018-12-31,38.282608,151.59697,238.446472,66.559998
