symbol,group,name
AUDC,NASDAQ Global Select Market,AudioCodes Ltd. - Ordinary Shares
AUMA,NASDAQ Capital Market,AR Capital Acquisition Corp. - Common Stock
AUMAU,NASDAQ Capital Market,AR Capital Acquisition Corp. - Units
AUMAW,NASDAQ Capital Market,AR Capital Acquisition Corp. - Warrants
AUPH,NASDAQ Global Market,Aurinia Pharmaceuticals Inc - Common Shares
AUXL,NASDAQ Global Select Market,"Auxilium Pharmaceuticals, Inc. - Common Stock"
AVAV,NASDAQ Global Select Market,"AeroVironment, Inc. - Common Stock"
AVEO,NASDAQ Global Select Market,"AVEO Pharmaceuticals, Inc. - Common Stock"
AVGO,NASDAQ Global Select Market,Avago Technologies Limited - Ordinary Shares
AVHI,NASDAQ Global Select Market,"A V Homes, Inc. - Common Stock"
AVID,NASDAQ Global Select Market,"Avid Technology, Inc. - Common Stock"
AVNR,NASDAQ Global Select Market,"Avanir Pharmaceuticals, Inc. - Class A Common Stock"
AVNW,NASDAQ Global Select Market,"Aviat Networks, Inc. - Common Stock"
AWAY,NASDAQ Global Select Market,"HomeAway, Inc. - Common Stock"
AWRE,NASDAQ Global Market,"Aware, Inc. - Common Stock"
AXAS,NASDAQ Capital Market,Abraxas Petroleum Corporation - Common Stock
AXDX,NASDAQ Capital Market,"Accelerate Diagnostics, Inc. - Common Stock"
AXGN,NASDAQ Capital Market,"AxoGen, Inc. - Common Stock"
AXJS,NASDAQ Global Market,iShares MSCI All Country Asia ex Japan Small Cap Index Fund
AXPW,NASDAQ Capital Market,"Axion Power International, Inc. - Common Stock"
AXPWW,NASDAQ Capital Market,"Axion Power International, Inc. - Series A Warrants"
AXTI,NASDAQ Global Select Market,AXT Inc - Common Stock
AZPN,NASDAQ Global Select Market,"Aspen Technology, Inc. - Common Stock"
BABY,NASDAQ Global Select Market,Natus Medical Incorporated - Common Stock
BAGR,NASDAQ Capital Market,"Diversified Restaurant Holdings, Inc. - Common Stock"
BAMM,NASDAQ Global Select Market,"Books-A-Million, Inc. - Common Stock"
BANF,NASDAQ Global Select Market,BancFirst Corporation - Common Stock
BANFP,NASDAQ Global Select Market,BancFirst Corporation - 7.2% Cumulative Trust Preferred Securities
BANR,NASDAQ Global Select Market,Banner Corporation - Common Stock
BANX,NASDAQ Global Select Market,StoneCastle Financial Corp - Common Stock
BASI,NASDAQ Capital Market,"Bioanalytical Systems, Inc. - Common Stock"
BBBY,NASDAQ Global Select Market,Bed Bath & Beyond Inc. - Common Stock
BBC,NASDAQ Global Market,BioShares Biotechnology Clinical Trials Fund
BBCN,NASDAQ Global Select Market,"BBCN Bancorp, Inc. - Common Stock"
BBEP,NASDAQ Global Select Market,"BreitBurn Energy Partners, L.P. - Common Units Representing Limited Partnership"
BBEPP,NASDAQ Global Select Market,"BreitBurn Energy Partners, L.P. - 8.25% Series A Cumulative Redeemable Perpetual Preferred Units"
BBGI,NASDAQ Global Market,"Beasley Broadcast Group, Inc. - Class A Common Stock"
BBLU,NASDAQ Capital Market,"Blue Earth, Inc. - Common Stock"
BBNK,NASDAQ Global Select Market,Bridge Capital Holdings - Common Stock
BBOX,NASDAQ Global Select Market,Black Box Corporation - Common Stock
BBP,NASDAQ Global Market,BioShares Biotechnology Products Fund
BBRG,NASDAQ Global Select Market,"Bravo Brio Restaurant Group, Inc. - Common Stock"
BBRY,NASDAQ Global Select Market,BlackBerry Limited - Common Stock
BBSI,NASDAQ Global Select Market,"Barrett Business Services, Inc. - Common Stock"
BCBP,NASDAQ Global Market,"BCB Bancorp, Inc. (NJ) - Common Stock"
BCLI,NASDAQ Capital Market,Brainstorm Cell Therapeutics Inc. - Common Stock
BCOM,NASDAQ Global Select Market,B Communications Ltd. - Ordinary Shares
BCOR,NASDAQ Global Select Market,"Blucora, Inc. - Common Stock"
BCOV,NASDAQ Global Select Market,Brightcove Inc. - Common Stock
BCPC,NASDAQ Global Select Market,Balchem Corporation - Common Stock
