symbol,group,description
LCUT,US Equity,Lifetime Brands Inc.
LDL,US Equity,Lydall Inc.
LDOS,US Equity,Leidos Holdings Inc.
LDR,US Equity,Landauer Inc.
LE,US Equity,LANDS END INC
LEA,US Equity,Lear Corp
LECO,US Equity,Lincoln Electric Holdings Inc.
LEE,US Equity,Lee Enterprises Inc.
LEG,US Equity,Leggett & Platt Inc.
LEI,US Equity,Lucas Energy Inc.
LEN,US Equity,Lennar Corp.
LEXEA,US Equity,LIBERTY EXPEDIA HOLDINGS
LFGR,US Equity,Leaf Group Ltd
LFUS,US Equity,Littelfuse Inc.
LFVN,US Equity,LIFEVANTAGE CORP
LGCY,US Equity,Legacy Reserves L.P.
LGF.B,US Equity,LIONS GATE ENTMNT CORP
LGND,US Equity,Ligand Pharmaceuticals Inc.
LH,US Equity,Laboratory Corp. of America Holdings
LHCG,US Equity,LHC Group
LHO,US Equity,LaSalle Hotel Properties
LIFE,US Equity,ATYR PHARMA INC
LII,US Equity,Lennox International Inc.
LIME,US Equity,Lime Energy Co.
LINC,US Equity,Lincoln Educational Services Corp.
LION,US Equity,Fidelity Southern Corp.
LIOX,US Equity,Lionbridge Technologies Inc.
LITE,US Equity,LUMENTUM HLDGS INC COM
LKFN,US Equity,Lakeland Financial Corp.
LKQ,US Equity,LKQ Corp.
LKSD,US Equity,LSC COMMUNICATIONS INC
LL,US Equity,Lumber Liquidators Inc.
LLL,US Equity,L-3 Communications Holdings Inc.
LLNW,US Equity,Limelight Networks Inc.
LLTC,US Equity,Linear Technology Corp.
LLY,US Equity,Eli Lilly & Co.
LM,US Equity,Legg Mason Inc.
LMAT,US Equity,LeMaitre Vascular Inc.
LMCA,US Equity,Liberty Media Coproration
LMIA,US Equity,LMI Aerospace Inc.
LMNR,US Equity,LIMONEIRA CO
LMNX,US Equity,Luminex Corp.
LMOS,US Equity,LUMOS NETWORKS CORP
LMRK,US Equity,LANDMARK INFRASTRUCTURE LP
LMT,US Equity,Lockheed Martin Corp.
LNC,US Equity,Lincoln National Corp.
LNCE,US Equity,Snyder's-Lance Inc.
LNDC,US Equity,Landec Corp.
LNG,US Equity,Cheniere Energy Inc.
LNN,US Equity,Lindsay Corp.
LNT,US Equity,Alliant Energy Corp.
LNTH,US Equity,LANTHEUS HLDGS INC
LOB,US Equity,LIVE OAK BANCSHARES INC
LOCK,US Equity,LIFELOCK INC
LOCO,US Equity,EL POLLO LOCO HLDGS INC
LOGM,US Equity,LOGMEIN INC
LOPE,US Equity,Grand Canyon Education Inc.
LORL,US Equity,Loral Space & Communications Ltd.
LOV,US Equity,Spark Networks Inc.
LOW,US Equity,Lowe's Cos.
LOXO,US Equity,Loxo Oncology Inc
LPG,US Equity,Dorian Lpg Ltd
LPI,US Equity,LAREDO PETE HLDGS INC
LPLA,US Equity,LPL INVT HLDGS INC
LPNT,US Equity,LifePoint Hospitals Inc.
LPSN,US Equity,LivePerson Inc.
LPT,US Equity,Liberty Property Trust
LPTH,US Equity,Lightpath Technologies Inc. Cl A
LPX,US Equity,Louisiana-Pacific Corp.
LQDT,US Equity,Liquidity Services Inc.
LRAD,US Equity,American Technology Corp.
LRCX,US Equity,Lam Research Corp.
LRN,US Equity,K12 Inc.
LSBG,US Equity,Lake Sunapee Bk Group
LSCC,US Equity,Lattice Semiconductor Corp.
LSCG,US Equity,LIGHTING SCIENCE GROUP CORP
LSI,US Equity,Life Storage Inc
LSTR,US Equity,Landstar System Inc.
LSXMA,US Equity,Liberty Siriusxm Grp-A
LTC,US Equity,LTC Properties Inc.
LTRPA,US Equity,LIBERTY TRIPADVISOR HLDGS IN
LTRX,US Equity,Lantronix Inc.
LTS,US Equity,Ladenburg Thalmann Financial Services Inc.
LTXB,US Equity,Legacy Tex Finl Group Inc
LUB,US Equity,Luby's Inc.
LUK,US Equity,Leucadia National Corp.
LUNA,US Equity,Luna Innovations Inc.
LUV,US Equity,Southwest Airlines Co.
LVLT,US Equity,Level 3 Communications Inc.
LVNTA,US Equity,Liberty Interactive Corp
LVS,US Equity,Las Vegas Sands Corp.
LW,US Equity,LAMB WESTON HLDGS INC
LWAY,US Equity,Lifeway Foods Inc.
LXP,US Equity,Lexington Realty Trust
LXRX,US Equity,Lexicon Pharmaceuticals Inc.
LXU,US Equity,LSB Industries Inc.
LYTS,US Equity,LSI Industries Inc.
LYV,US Equity,Live Nation Inc.
LZB,US Equity,La-Z-Boy Inc.
M,US Equity,Macy's Inc.
MA,US Equity,MasterCard Inc. Cl A
MAA,US Equity,Mid-America Apartment Communities Inc.
MAC,US Equity,Macerich Co.
MACK,US Equity,MERRIMACK PHARMACEUTICALS IN
MAIN,US Equity,MAIN STREET CAPITAL CORP
MAN,US Equity,Manpower Inc.
MANH,US Equity,Manhattan Associates Inc.
MANT,US Equity,ManTech International Corp.
MAR,US Equity,Marriott International Inc. Cl A
MARK,US Equity,Remark Media Inc
MAS,US Equity,Masco Corp.
MASI,US Equity,Masimo Corp.
MAT,US Equity,Mattel Inc.
MATN,US Equity,Mateon Therapeutics Inc
MATR,US Equity,Mattersight Corp
MATW,US Equity,Matthews International Corp. Cl A
MATX,US Equity,Matson Inc
MB,US Equity,MINDBODY INC
MBFI,US Equity,MB Financial Inc.
MBI,US Equity,MBIA Inc.
MBII,US Equity,MARRONE BIO INNOVATIONS INC
MBLX,US Equity,Metabolix Inc.
MBOT,US Equity,Microbot Med Inc
MBRG,US Equity,Middleburg Financial Corp.
MBTF,US Equity,M B T Financial Corp.
MBUU,US Equity,MALIBU BOATS INC
MBVT,US Equity,Merchants Bancshares Inc. (Vermont)
MBVX,US Equity,Telik Inc.
MBWM,US Equity,Mercantile Bank Corp.
MC,US Equity,MOELIS & CO
MCBC,US Equity,Macatawa Bank Corp.
MCC,US Equity,MEDLEY CAP CORP
MCD,US Equity,McDonald's Corp.
MCEP,US Equity,MID CON ENERGY PARTNERS LP
MCF,US Equity,Contango Oil & Gas Co.
MCFT,US Equity,MCBC HLDGS INC
MCHP,US Equity,Microchip Technology Inc.
MCHX,US Equity,Marchex Inc.
MCK,US Equity,McKesson Corp.
MCO,US Equity,Moody's Corp.
MCRB,US Equity,SERES THERAPEUTICS INC
MCRI,US Equity,Monarch Casino & Resort Inc.
MCRN,US Equity,MILACRON HLDGS CORP
MCS,US Equity,Marcus Corp.
MCY,US Equity,Mercury General Corp.
MD,US Equity,Mednax Inc.
MDC,US Equity,M.D.C. Holdings Inc.
MDCO,US Equity,Medicines Co.
MDGL,US Equity,Madrigal Pharmaceuticals Inc
MDLY,US Equity,MEDLEY MGMT INC
MDLZ,US Equity,Mondelez International Inc
MDP,US Equity,Meredith Corp.
MDR,US Equity,McDermott International Inc.
MDRX,US Equity,Allscripts-Misys Healthcare Solutions Inc.
MDSO,US Equity,MEDIDATA SOLUTIONS INC
MDU,US Equity,MDU Resources Group Inc.
MDXG,US Equity,MiMedx Group Inc
MED,US Equity,Medifast Inc.
MEDP,US Equity,MEDPACE HLDGS INC
MEET,US Equity,Meetme Inc
MEG,US Equity,MEDIA GEN INC NEW
MEI,US Equity,Methode Electronics Inc.
MEIP,US Equity,MEI PHARMA INC
MEMP,US Equity,MEMORIAL PRODTN PARTNERS LP
MENT,US Equity,Mentor Graphics Corp.
MEP,US Equity,MIDCOAST ENERGY PARTNERS L P
MET,US Equity,MetLife Inc.
MFA,US Equity,MFA Financial Inc.
MFIN,US Equity,Medallion Financial Corp.
MFRI,US Equity,MFRI Inc.
MFS,US Equity,MANITOWOC FOODSERVICE INC
MFSF,US Equity,MutualFirst Financial Inc.
MG,US Equity,MISTRAS GROUP INC
MGCD,US Equity,Mgc Diagnostics Corp
MGEE,US Equity,MGE Energy Inc.
MGI,US Equity,MoneyGram International Inc.
MGLN,US Equity,Magellan Health Services Inc.
MGM,US Equity,MGM MIRAGE
MGNX,US Equity,Macrogenics Inc
MGP,US Equity,Mgm Growth Pptys Llc
MGPI,US Equity,MGP Ingredients Inc.
MGRC,US Equity,McGrath RentCorp
MHH,US Equity,Mastech Holdings Inc.
MHK,US Equity,Mohawk Industries Inc.
MHLD,US Equity,Maiden Holdings Ltd.
MHO,US Equity,M/I Homes Inc.
MIDD,US Equity,Middleby Corp.
MIK,US Equity,MICHAELS COS INC
MIND,US Equity,Mitcham Industries Inc.
MINI,US Equity,Mobile Mini Inc.
MIRN,US Equity,Mirna Therapeutics Inc
MITK,US Equity,Mitek Systems Inc.
MITT,US Equity,AG Mortgage Investment Trust
MJN,US Equity,Mead Johnson Nutrition Co.
MKC,US Equity,McCormick & Co. Inc.
MKL,US Equity,Markel Corp.
MKSI,US Equity,MKS Instruments Inc.
MKTX,US Equity,MarketAxess Holdings Inc.
MLAB,US Equity,Mesa Laboratories Inc.
MLHR,US Equity,Herman Miller Inc.
MLI,US Equity,Mueller Industries Inc.
MLM,US Equity,Martin Marietta Materials Inc.
MLNK,US Equity,ModusLink Global Solutions Inc.
MLP,US Equity,Maui Land & Pineapple Co. Inc.
MLR,US Equity,Miller Industries Inc.
MMC,US Equity,Marsh & McLennan Cos.
MMI,US Equity,Marcus & Millichap Inc
MMLP,US Equity,Martin Midstream Partners L.P.
MMM,US Equity,3M Co.
MMP,US Equity,Magellan Midstream Partners L.P.
MMRF,US Equity,MMRGLOBAL INC COM
MMS,US Equity,Maximus Inc.
MMSI,US Equity,Merit Medical Systems Inc.
MN,US Equity,MANNING & NAPIER INC
MNGA,US Equity,MAGNEGAS CORP
MNI,US Equity,Mcclatchy Co
MNKD,US Equity,MannKind Corp.
MNOV,US Equity,MediciNova Inc.
MNR,US Equity,Monmouth Real Estate Investment Corp. Cl
MNRO,US Equity,Monro Muffler Brake Inc.
MNST,US Equity,Monster Beverage Corp
MNTA,US Equity,Momenta Pharmaceuticals Inc.
MNTX,US Equity,Manitex International Inc.
MO,US Equity,Altria Group Inc.
MOBL,US Equity,MOBILEIRON INC
MOC,US Equity,Command Security Corp.
MOCO,US Equity,MOCON Inc.
MOD,US Equity,Modine Manufacturing Co.
MODN,US Equity,MODEL N INC
MOFG,US Equity,MidWestOne Financial Group Inc.
MOG/A,US Equity,Moog Inc.
MOH,US Equity,Molina Healthcare Inc.
MON,US Equity,Monsanto Co.
MORE,US Equity,MONOGRAM RESIDENTIAL TR INC
MORN,US Equity,Morningstar Inc.
MOS,US Equity,Mosaic Co.
MOSY,US Equity,MoSys Inc.
MOV,US Equity,Movado Group Inc.
MPAA,US Equity,Motorcar Parts of America Inc.
MPC,US Equity,Marathon Petroleum Corp.
MPET,US Equity,Magellan Petroleum Corp.
MPG,US Equity,Metaldyne Performance Group Inc.
MPLX,US Equity,MPLX LP
MPSX,US Equity,MULTI PACKAGING SOLUTIONS IN
MPW,US Equity,Medical Properties Trust Inc.
MPWR,US Equity,Monolithic Power Systems Inc.
MPX,US Equity,Marine Products Corp.
MRAM,US Equity,EVERSPIN TECHNOLOGIES INC
MRC,US Equity,MRC GLOBAL INC
MRCC,US Equity,MONROE CAP CORP
MRCY,US Equity,Mercury Computer Systems Inc.
MRIN,US Equity,MARIN SOFTWARE INC
MRK,US Equity,Merck & Co. Inc.
MRLN,US Equity,Marlin Business Services Corp.
MRNS,US Equity,MARINUS PHARMACEUTICALS INC
MRO,US Equity,Marathon Oil Corp.
MRT,US Equity,MEDEQUITIES RLTY TR INC
MRTN,US Equity,Marten Transport Ltd.
MRVL,US Equity,Marvell Technology Group Ltd.
MS,US Equity,Morgan Stanley
MSA,US Equity,Mine Safety Appliances Co.
MSBI,US Equity,MIDLAND STS BANCORP INC ILL
MSCC,US Equity,Microsemi Corp.
MSCI,US Equity,MSCI Inc.
MSDI,US Equity,MONSTER DIGITAL INC
MSEX,US Equity,Middlesex Water Co.
MSFG,US Equity,MainSource Financial Group Inc.
MSFT,US Equity,Microsoft Corp.
MSG,US Equity,MADISON SQUARE GARDEN CO NEW
MSGN,US Equity,Msg Network Inc
MSI,US Equity,Motorola Solutions
MSL,US Equity,MidSouth Bancorp Inc.
MSM,US Equity,MSC Industrial Direct Co.
MSN,US Equity,Emerson Radio Corp.
MSON,US Equity,Misonix Inc.
MSTR,US Equity,MicroStrategy Inc.
MSTX,US Equity,ADVENTRX Pharmaceuticals Inc.
MTB,US Equity,M&T Bank Corp.
MTBC,US Equity,MEDICAL TRANSCRIPTION BLG CO
MTCH,US Equity,MATCH GROUP INC
MTD,US Equity,Mettler-Toledo International Inc.
MTDR,US Equity,Matador Res Co
MTEX,US Equity,Mannatech Inc.
MTG,US Equity,MGIC Investment Corp.
MTGE,US Equity,Mtge Invt Corp
MTH,US Equity,Meritage Homes Corp.
MTN,US Equity,Vail Resorts Inc.
MTOR,US Equity,Meritor Inc
MTRN,US Equity,Materion Corp
MTRX,US Equity,Matrix Service Co.
MTSC,US Equity,MTS Systems Corp.
MTSI,US Equity,MA COM TECHNOLOGY SOLUTIONS
MTW,US Equity,Manitowoc Co.
MTX,US Equity,Minerals Technologies Inc.
MTZ,US Equity,MasTec Inc.
MU,US Equity,Micron Technology Inc.
MUR,US Equity,Murphy Oil Corp.
MUSA,US Equity,Murphy Usa Inc
MVC,US Equity,Mvc Cap
MVIS,US Equity,Microvision Inc.
MWA,US Equity,Mueller Water Products Inc.
MXC,US Equity,Mexco Energy Corp.
MXIM,US Equity,Maxim Integrated Products Inc.
MXL,US Equity,MAXLINEAR INC
MXPT,US Equity,MAXPOINT INTERACTIVE INC
MXWL,US Equity,Maxwell Technologies Inc.
MYCC,US Equity,CLUBCORP HLDGS INC
MYE,US Equity,Myers Industries Inc.
MYGN,US Equity,Myriad Genetics Inc.
MYOK,US Equity,MYOKARDIA INC
MYRG,US Equity,MYR Group Inc.
NAII,US Equity,Natural Alternatives International Inc.
NAME,US Equity,RIGHTSIDE GROUP LTD
NANO,US Equity,Nanometrics Inc.
NANX,US Equity,Nanophase Technologies Corp.
NATH,US Equity,Nathan's Famous Inc.
NATI,US Equity,National Instruments Corp.
NATR,US Equity,NATURES SUNSHINE PRO
NAV,US Equity,Navistar International Corp.
NAVB,US Equity,Navidea Biopharmaceuticals
NAVG,US Equity,Navigators Group Inc.
NAVI,US Equity,Navient Corp
NBHC,US Equity,NATIONAL BK HLDGS CORP
NBIX,US Equity,Neurocrine Biosciences Inc.
NBL,US Equity,Noble Energy Inc.
NBLX,US Equity,NOBLE MIDSTREAM PARTNERS LP
NBR,US Equity,Nabors Industries Ltd.
NBTB,US Equity,NBT Bancorp Inc.
NBY,US Equity,NovaBay Pharmaceuticals Inc.
NC,US Equity,NACCO Industries Inc.
NCI,US Equity,Navigant Consulting Inc.
NCIT,US Equity,NCI Inc.
NCLH,US Equity,NORWEGIAN CRUISE LINE HLDGS
NCMI,US Equity,National CineMedia Inc.
NCOM,US Equity,NATIONAL COMM CORP
NCR,US Equity,NCR Corp.
NCS,US Equity,NCI Building Systems Inc.
NDAQ,US Equity,NASDAQ OMX Group Inc.
NDLS,US Equity,NOODLES & CO
NDRO,US Equity,ENDURO RTY TRUST
NDSN,US Equity,Nordson Corp.
NEE,US Equity,FPL Group Inc.
NEFF,US Equity,NEFF CORP
NEM,US Equity,Newmont Mining Corp.
NEO,US Equity,NeoGenomics Inc
NEOG,US Equity,Neogen Corp.
NEOS,US Equity,Neos Therapeutics Inc
NEOT,US Equity,Neothetics Inc
NEP,US Equity,NEXTERA ENERGY PARTNERS LP
NERV,US Equity,MINERVA NEUROSCIENCES INC
NESC,US Equity,Nuverra Environmental Solutions
NETE,US Equity,Net Element Inc
NEU,US Equity,NewMarket Corp.
NEWM,US Equity,NEW MEDIA INVT GROUP INC
NEWR,US Equity,NEW RELIC INC
NEWS,US Equity,NewStar Financial Inc.
NEWT,US Equity,Newtek Business Services Inc.
NFBK,US Equity,Northfield Bancorp Inc.
NFG,US Equity,National Fuel Gas Co.
NFLX,US Equity,Netflix Inc.
NFX,US Equity,Newfield Exploration Co.
NGHC,US Equity,NATIONAL GEN HLDGS CORP
NGS,US Equity,Natural Gas Services Group Inc.
NGVC,US Equity,NATURAL GROCERS BY VITAMIN C
NGVT,US Equity,INGEVITY CORP
NH,US Equity,Nanthealth Inc
NHC,US Equity,National Healthcare Corp.
NHI,US Equity,National Health Investors Inc.
NI,US Equity,NiSource Inc.
NICK,US Equity,NICHOLAS FINANCIAL I
NILE,US Equity,Blue Nile Inc.
NJR,US Equity,New Jersey Resources Corp.
NK,US Equity,NANTKWEST INC
NKE,US Equity,Nike Inc.
NKSH,US Equity,National Bankshares Inc.
NKTR,US Equity,Nektar Therapeutics
NL,US Equity,NL Industries Inc.
NLNK,US Equity,NEWLINK GENETICS CORP
NLS,US Equity,Nautilus Inc.
NLST,US Equity,Netlist Inc.
NLY,US Equity,Annaly Capital Management Inc.
NMBL,US Equity,NIMBLE STORAGE INC
NMFC,US Equity,New Mountain Finance Corp.
NMIH,US Equity,NMI Holdings Inc.
NMRX,US Equity,NumereX Corp. Cl A
NNBR,US Equity,NN Inc.
NNI,US Equity,Nelnet Inc.
NNN,US Equity,National Retail Properties Inc.
NOC,US Equity,Northrop Grumman Corp.
NOG,US Equity,Northern Oil & Gas Inc.
NOV,US Equity,National Oilwell Varco Inc.
NOVN,US Equity,NOVAN INC
NOVT,US Equity,Novanta Inc
NOW,US Equity,SERVICENOW INC
NP,US Equity,Neenah Paper Inc.
NPK,US Equity,National Presto Industries Inc.
NPO,US Equity,EnPro Industries Inc.
NPTN,US Equity,NEOPHOTONICS CORP
NR,US Equity,Newpark Resources Inc.
NRCIA,US Equity,NATIONAL RESH CORP
NRCIB,US Equity,National Research Corp.
NRE,US Equity,NORTHSTAR REALTY EUROPE CORP COM
NRF,US Equity,Northstar Realty Finance Corp.
NRG,US Equity,NRG Energy Inc.
NRIM,US Equity,Northrim BanCorp Inc.
NRP,US Equity,Natural Resource Partners L
NRZ,US Equity,NEW RESIDENTIAL INVT CORP
NS,US Equity,NuSTAR Energy L.P.
NSA,US Equity,NATIONAL STORAGE AFFILIATES
NSAM,US Equity,NORTHSTAR ASSET MGMT GROUP INC.
NSC,US Equity,Norfolk Southern Corp.
NSH,US Equity,NuSTAR GP Holdings LLC
NSIT,US Equity,Insight Enterprises Inc.
NSP,US Equity,Insperity Inc
NSR,US Equity,NeuStar Inc.
NSSC,US Equity,NAPCO Security Technologies Inc.
NSTG,US Equity,NANOSTRING TECHNOLOGIES INC
NTAP,US Equity,NetApp Inc.
NTCT,US Equity,NetScout Systems Inc.
NTGR,US Equity,NETGEAR Inc.
NTIC,US Equity,Northern Technologies International Corp.
NTLA,US Equity,INTELLIA THERAPEUTICS INC
NTN,US Equity,Ntn Buzztime Inc
NTNX,US Equity,NUTANIX INC
NTRA,US Equity,NATERA INC
NTRI,US Equity,NutriSystem Inc.
NTRS,US Equity,Northern Trust Corp.
NTWK,US Equity,NetSol Technologies Inc.
NUAN,US Equity,Nuance Communications Inc.
NUE,US Equity,Nucor Corp.
NURO,US Equity,NeuroMetrix Inc.
NUS,US Equity,Nu Skin Enterprises Inc. Cl A
NUTR,US Equity,Nutraceutical International Corp.
NUVA,US Equity,NuVasive Inc.
NVAX,US Equity,Novavax Inc.
NVCR,US Equity,NOVOCURE LTD
NVDA,US Equity,NVIDIA Corp.
NVEC,US Equity,NVE Corp.
NVLS,US Equity,Nivalis Therapeutics In
NVR,US Equity,NVR Inc.
NVRO,US Equity,NEVRO CORP
NVTA,US Equity,INVITAE CORP
NVTR,US Equity,NUVECTRA CORPORATION
NWBI,US Equity,Northwest Bancorp Inc.
NWBO,US Equity,Northwest Biotherapeutics Inc.
NWE,US Equity,NorthWestern Corp.
NWFL,US Equity,Norwood Financial Corp.
NWHM,US Equity,NEW HOME CO INC
NWL,US Equity,Newell Rubbermaid Inc.
NWLI,US Equity,National Western Life Insurance Co.
NWN,US Equity,Northwest Natural Gas Co.
NWPX,US Equity,Northwest Pipe Co.
NWSA,US Equity,News Corporation
NWY,US Equity,New York & Co. Inc
NX,US Equity,Quanex Building Products Corp.
NXRT,US Equity,NEXPOINT RESIDENTIAL TR INC
NXST,US Equity,Nexstar Broadcasting Group Inc.
NXTD,US Equity,NXT-ID
NXTM,US Equity,NxStage Medical Inc.
NYCB,US Equity,New York Community Bancorp Inc.
NYMT,US Equity,New York Mortgage Trust Inc.
NYNY,US Equity,Empire Resorts Inc.
NYRT,US Equity,NEW YORK REIT INC
NYT,US Equity,New York Times Co.
O,US Equity,Realty Income Corp.
OA,US Equity,Orbital ATK Inc.
OAK,US Equity,OAKTREE CAP GROUP LLC
OAKS,US Equity,FIVE OAKS INVT CORP
OAS,US Equity,OASIS PETE INC NEW
OB,US Equity,OneBeacon Insurance Group Ltd.
OBCI,US Equity,Ocean Bio-Chem Inc.
OBLN,US Equity,OBALON THERAPEUTICS INC
OC,US Equity,Owens Corning
OCC,US Equity,Optical Cable Corp.
OCFC,US Equity,OceanFirst Financial Corp.
OCIP,US Equity,OCI PARTNERS LP
OCLR,US Equity,Bookham Inc.
OCN,US Equity,Ocwen Financial Corp.
OCRX,US Equity,Ocera Therapeutics Inc
OCUL,US Equity,OCULAR THERAPEUTIX INC
OCX,US Equity,ONCOCYTE CORPORATION
ODC,US Equity,Oil-Dri Corp. of America
ODFL,US Equity,Old Dominion Freight Line Inc.
ODP,US Equity,Office Depot Inc.
OESX,US Equity,Orion Energy Systems Inc.
OFC,US Equity,Corporate Office Properties Trust
OFG,US Equity,Oriental Financial Group Inc.
OFIX,US Equity,Orthofix International N.V.
OFLX,US Equity,Omega Flex Inc.
OFS,US Equity,OFS CAP CORP
OGE,US Equity,OGE Energy Corp.
OGEN,US Equity,ORAGENICS INC
OGS,US Equity,ONE GAS INC
OGXI,US Equity,OncoGenex Pharmaceuticals Inc.
OHAI,US Equity,OHA INVT CORP
OHI,US Equity,Omega Healthcare Investors Inc.
OI,US Equity,Owens-Illinois Inc.
OII,US Equity,Oceaneering International Inc.
OIS,US Equity,Oil States International Inc.
OKE,US Equity,ONEOK Inc.
OKS,US Equity,ONEOK Partners L.P.
OKSB,US Equity,Southwest Bancorp Inc.
OLED,US Equity,Universal Display Corp.
OLLI,US Equity,OLLIES BARGAIN OUTLT HLDGS I
OLN,US Equity,Olin Corp.
OLP,US Equity,One Liberty Properties Inc.
OMC,US Equity,Omnicom Group Inc.
OMCL,US Equity,Omnicell Inc.
OME,US Equity,Omega Protein Corp.
OMED,US Equity,ONCOMED PHARMACEUTICALS INC
OMER,US Equity,OMEROS CORP
OMEX,US Equity,Odyssey Marine Exploration I
OMF,US Equity,Onemain Hldgs Inc
OMI,US Equity,Owens & Minor Inc.
OMN,US Equity,OMNOVA Solutions Inc.
ON,US Equity,ON Semiconductor Corporation
ONB,US Equity,Old National Bancorp
ONCE,US Equity,SPARK THERAPEUTICS INC
ONDK,US Equity,ON DECK CAP INC
ONTX,US Equity,ONCONOVA THERAPEUTICS INC
ONVI,US Equity,Onvia Inc.
OOMA,US Equity,OOMA INC
OPGN,US Equity,OPGEN INC
OPHT,US Equity,OPHTHOTECH CORP
OPK,US Equity,Opko Health Inc.
OPOF,US Equity,Old Point Financial Corp.
OPTT,US Equity,Ocean Power Technologies Inc.
OPXA,US Equity,Opexa Therapeutics Inc.
OPY,US Equity,OPPENHEIMER HLDGS
ORA,US Equity,Ormat Technologies Inc.
ORBC,US Equity,ORBCOMM Inc.
ORC,US Equity,ORCHID IS CAP INC
ORCL,US Equity,Oracle Corp.
OREX,US Equity,Orexigen Therapeutics Inc.
ORI,US Equity,Old Republic International Corp.
ORIT,US Equity,Oritani Financial Corp.
ORLY,US Equity,O'Reilly Automotive Inc.
ORM,US Equity,OWENS RLTY MTG INC
ORN,US Equity,Orion Marine Group Inc.
OSBC,US Equity,Old Second Bancorp Inc.
OSG,US Equity,Overseas Shipholding Gr
OSIR,US Equity,Osiris Therapeutics Inc.
OSIS,US Equity,OSI Systems Inc.
OSK,US Equity,Oshkosh Corp.
OSTK,US Equity,Overstock.com Inc.
OSUR,US Equity,OraSure Technologies Inc.
OTIC,US Equity,OTONOMY INC
OTTR,US Equity,Otter Tail Corp.
OUT,US Equity,OUTFRONT Media Inc.
OVAS,US Equity,OVASCIENCE INC
OXM,US Equity,Oxford Industries Inc.
OXY,US Equity,Occidental Petroleum Corp.
OZM,US Equity,Och-Ziff Capital Management  L.L.C.
OZRK,US Equity,Bank of The Ozarks Inc.
P,US Equity,Pandora Media Inc
PAA,US Equity,Plains All American Pipeline L.P.
PACB,US Equity,PACIFIC BIOSCIENCES CALIF IN
PACW,US Equity,PacWest Bancorp
PAG,US Equity,Penske Automotive Group Inc.
PAGP,US Equity,PLAINS GP HLDGS L P
PAHC,US Equity,PHIBRO ANIMAL HEALTH CORP
PANW,US Equity,PALO ALTO NETWORKS INC
PAR,US Equity,Par Technology Corp.
PATI,US Equity,New Patriot Transportation Holding Inc
PATK,US Equity,Patrick Industries Inc.
PAVM,US Equity,PAVMED INC
PAY,US Equity,VeriFone Holdings Inc.
PAYC,US Equity,PAYCOM SOFTWARE INC
PAYX,US Equity,Paychex Inc.
PB,US Equity,Prosperity Bancshares Inc.(R)
PBCT,US Equity,People's United Financial Inc.
PBF,US Equity,PBF ENERGY INC
PBFX,US Equity,PBF LOGISTICS LP
PBH,US Equity,Prestige Brands Holdings Inc.
PBI,US Equity,Pitney Bowes Inc.
PBIB,US Equity,Porter Bancorp Inc.
PBIO,US Equity,Pressure BioSciences Inc.
PBNC,US Equity,Paragon Coml Corp
PBPB,US Equity,POTBELLY CORP
PBSK,US Equity,POAGE BANKSHARES INC
PBYI,US Equity,PUMA BIOTECHNOLOGY INC
PCAR,US Equity,Paccar Inc
PCBK,US Equity,Pacific Continental Corp.
PCG,US Equity,PG&E Corp.
PCH,US Equity,Potlatch Corp. REIT
PCLN,US Equity,priceline.com Inc.
PCMI,US Equity,PC Mall Inc.
PCO,US Equity,Pendrell Corp
PCRX,US Equity,PACIRA PHARMACEUTICALS INC
PCTI,US Equity,PC-Tel Inc.
PCTY,US Equity,PAYLOCITY HLDG CORP
PCYO,US Equity,Pure Cycle Corp.
PDCE,US Equity,Petroleum Development Corp.
PDCO,US Equity,Patterson Cos. Inc.
PDEX,US Equity,Pro-Dex Inc.
PDFS,US Equity,PDF Solutions Inc.
PDLI,US Equity,PDL BioPharma Inc.
PDM,US Equity,PIEDMONT OFFICE REALTY TR IN
PE,US Equity,Parsley Energy Inc
PEB,US Equity,PEBBLEBROOK HOTEL TR
PEBK,US Equity,Peoples Bancorp of North Carolina Inc.
PEBO,US Equity,Peoples Bancorp Inc. (Ohio)
PEG,US Equity,Public Service Enterprise Group Inc.
PEGA,US Equity,Pegasystems Inc.
PEI,US Equity,Pennsylvania Real Estate Investment Trust
PEIX,US Equity,Pacific Ethanol Inc.
PEN,US Equity,PENUMBRA INC
PENN,US Equity,Penn National Gaming Inc.
PEP,US Equity,PepsiCo Inc.
PERY,US Equity,Perry Ellis International Inc.
PES,US Equity,Pioneer Drilling Co.
PESI,US Equity,Perma-Fix Environmental Services Inc.
PETS,US Equity,PetMed Express Inc.
PETX,US Equity,ARATANA THERAPEUTICS INC
PF,US Equity,PINNACLE FOODS INC DEL
PFBC,US Equity,Preferred Bank Los Angeles
PFBI,US Equity,Premier Financial Bancorp Inc.
PFE,US Equity,Pfizer Inc.
PFG,US Equity,Principal Financial Group Inc.
PFGC,US Equity,PERFORMANCE FOOD GROUP CO
PFIN,US Equity,P & F Industries Inc. Cl A
PFLT,US Equity,PENNANTPARK FLOATING RATE CA
PFMT,US Equity,PERFORMANT FINL CORP
PFNX,US Equity,PFENEX INC
PFPT,US Equity,PROOFPOINT INC
PFS,US Equity,Provident Financial Services Inc.
PFSI,US Equity,PENNYMAC FINL SVCS INC
PFSW,US Equity,PFSweb Inc.
PG,US Equity,Procter & Gamble Co.
