symbol,group,description
BYD,US Equity,Boyd Gaming Corp.
BZH,US Equity,Beazer Homes USA Inc.
C,US Equity,Citigroup Inc.
CA,US Equity,CA Inc.
CAA,US Equity,Standard Pacific Corp.
CAB,US Equity,Cabela's Inc.
CABO,US Equity,CABLE ONE INC
CAC,US Equity,Camden National Corp.
CACB,US Equity,Cascade Bancorp
CACC,US Equity,Credit Acceptance Corp.
CACI,US Equity,Caci Inc
CAFD,US Equity,8POINT3 ENERGY PARTNERS LP
CAG,US Equity,Conagra Brands Inc
CAH,US Equity,Cardinal Health Inc.
CAI,US Equity,CAI International Inc.
CAKE,US Equity,Cheesecake Factory Inc.
CAL,US Equity,Caleres Inc
CALA,US Equity,CALITHERA BIOSCIENCES INC
CALD,US Equity,Callidus Software Inc.
CALM,US Equity,Cal-Maine Foods Inc.
CALX,US Equity,CALIX INC
CAMP,US Equity,CalAmp Corp.
CAPL,US Equity,Crossamerica Partners Lp
CAR,US Equity,Avis Budget Group Inc.
CARA,US Equity,Cara Therapeutics Inc
CARB,US Equity,CARBONITE INC
CASC,US Equity,Cascadian Therapeutics Inc
CASH,US Equity,Meta Financial Group Inc.
CASI,US Equity,Casi Pharmaceuticals Inc
CASL,US Equity,A.M. Castle & Co.
CASM,US Equity,CAS Medical Systems Inc.
CASS,US Equity,Cass Information Systems Inc.
CASY,US Equity,Casey's General Stores Inc.
CAT,US Equity,Caterpillar Inc.
CATB,US Equity,CATABASIS PHARMACEUTICALS IN
CATM,US Equity,Cardtronics Plc
CATO,US Equity,Cato Corp.
CATY,US Equity,Cathay General Bancorp
CAVM,US Equity,Cavium Networks Inc.
CAW,US Equity,CCA Industries Inc.
CBAN,US Equity,Colony Bankcorp Inc.
CBB,US Equity,Cincinnati Bell Inc New
CBG,US Equity,CB Richard Ellis Group Inc. Cl A
CBIO,US Equity,Catalyst Biosciences Inc
CBK,US Equity,Christopher & Banks Corp.
CBL,US Equity,CBL & Associates Properties Inc.
CBLI,US Equity,Cleveland BioLabs Inc.
CBM,US Equity,Cambrex Corp.
CBMX,US Equity,CombiMatrix Corp.
CBOE,US Equity,CBOE HLDGS INC
CBPX,US Equity,CONTINENTAL BLDG PRODS INC
CBR,US Equity,Ciber Inc.
CBRL,US Equity,Cracker Barrel Old Country Store Inc.
CBS,US Equity,CBS Corp.
